#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2458273.5413316865 	 1.3740000000 	 -0.1830130014 	 2.9351400506 	 46.5828165114 	 333.2913989640 
2458273.5420376388 	 1.3790000000 	 -0.1908983870 	 2.9119882640 	 46.5802404347 	 333.3363419839 
2458273.5427435916 	 1.3830000000 	 -0.1987256151 	 3.0260246510 	 47.6136024838 	 333.3674983143 
2458273.5434495439 	 1.3880000000 	 -0.2064994865 	 3.0612009670 	 45.8398156638 	 333.3087914745 
2458273.5442365073 	 1.3930000000 	 -0.2142725492 	 2.9533948442 	 66.9448576674 	 333.3112922493 
2458273.5451160548 	 1.4000000000 	 -0.2220766002 	 3.0953496073 	 67.1189957228 	 333.4227335428 
2458273.5459956024 	 1.4060000000 	 -0.2298490648 	 3.1065742340 	 67.5195847892 	 333.4629061968 
2458273.5468635764 	 1.4120000000 	 -0.2374177016 	 3.1021060863 	 68.4015368878 	 333.5342622399 
2458273.5477431240 	 1.4190000000 	 -0.2445767360 	 3.2137390502 	 69.7045959160 	 333.4547298110 
2458273.5486226715 	 1.4260000000 	 -0.2512233520 	 3.1958833972 	 72.0384865175 	 333.3525770808 
2458273.5494906460 	 1.4320000000 	 -0.2574723528 	 3.2072888090 	 70.1372383376 	 333.2922291587 
2458273.5503701931 	 1.4390000000 	 -0.2636720552 	 3.2153506460 	 70.0302761342 	 333.4189900893 
2458273.5512613137 	 1.4460000000 	 -0.2703125279 	 3.0138364098 	 68.9398360414 	 333.4412572658 
2458273.5521408608 	 1.4540000000 	 -0.2778748285 	 3.2879006903 	 69.8153102205 	 333.3769956443 
2458273.5530088353 	 1.4610000000 	 -0.2867101228 	 3.4059266294 	 69.4865721514 	 333.2552929522 
2458273.5538999555 	 1.4680000000 	 -0.2969952405 	 3.1537177197 	 70.1615665268 	 333.2851381911 
2458273.5547795030 	 1.4760000000 	 -0.3087486727 	 3.0751470851 	 70.3724711448 	 333.3930151584 
2458273.5556590501 	 1.4830000000 	 -0.3218611274 	 3.0662841047 	 69.9076769733 	 333.3225356264 
2458273.5565385977 	 1.4910000000 	 -0.3361077554 	 3.3814335183 	 71.3971079632 	 333.4174066116 
2458273.5574181448 	 1.4990000000 	 -0.3511399087 	 3.2184572658 	 69.7465085215 	 333.4319238076 
2458273.5582976923 	 1.5070000000 	 -0.3664925984 	 3.2155699944 	 70.2980552793 	 333.5769832169 
2458273.5591772394 	 1.5150000000 	 -0.3816359333 	 3.3083935149 	 68.9092856309 	 333.4704852645 
2458273.5600567870 	 1.5230000000 	 -0.3960613824 	 3.2698923950 	 71.2896051968 	 333.4468239548 
2458273.5609363341 	 1.5310000000 	 -0.4093786272 	 3.4102875165 	 69.7057389496 	 333.4644131131 
2458273.5618158816 	 1.5400000000 	 -0.4213771288 	 3.1132705679 	 67.9456126401 	 333.4672143963 
2458273.5626954287 	 1.5480000000 	 -0.4320387750 	 3.5180967549 	 70.0303981264 	 333.5162944301 
2458273.5635634032 	 1.5570000000 	 -0.4415145661 	 3.4153119105 	 70.7625952490 	 333.6683984679 
2458273.5644429503 	 1.5650000000 	 -0.4500789379 	 3.5678622401 	 70.5168113880 	 333.5190728005 
2458273.5653224979 	 1.5750000000 	 -0.4580815665 	 3.6418927886 	 72.8559355332 	 333.6075670830 
2458273.5662020450 	 1.5840000000 	 -0.4658953977 	 3.4465135248 	 70.6920553732 	 333.5425129307 
